customerID,Genero,Idoso,Casado,Dependents,Tempo_como_Cliente,PhoneService,Servico_Internet,Servico_Seguranca,Suporte_Tecnico,StreamingTV,Tipo_Contrato,PaymentMethod,Pagamento_Mensal,Total_Pago,Churn
8773-hhuoz,female,0,0,1,17,1.0,dsl,0,0,1,month-to-month,mailed check,71.45,1093.1,1
3841-nfecx,female,1,1,0,71,1.0,fiber optic,1,1,0,two year,credit card (automatic),71.45,6766.95,0
4929-xihvw,male,1,1,0,2,1.0,fiber optic,0,0,1,month-to-month,credit card (automatic),71.45,181.65,0
6827-ieauq,female,0,1,1,27,1.0,dsl,1,1,0,one year,mailed check,71.45,1874.45,0
7310-egvhz,male,0,0,0,1,1.0,0,no internet service,no internet service,no internet service,month-to-month,bank transfer (automatic),71.45,20.2,0
3413-bmnze,male,1,0,0,1,1.0,dsl,0,0,0,month-to-month,bank transfer (automatic),71.45,45.25,0
6234-raapl,female,0,1,1,72,1.0,fiber optic,1,1,1,two year,bank transfer (automatic),71.45,7251.7,0
6047-yhpvi,male,0,0,0,5,1.0,fiber optic,0,0,0,month-to-month,electronic check,71.45,316.9,1
6572-adkrs,female,0,0,0,46,1.0,fiber optic,0,0,0,month-to-month,credit card (automatic),71.45,3548.3,0
5380-wjkov,male,0,0,0,34,1.0,fiber optic,0,0,1,month-to-month,electronic check,71.45,3549.25,1
8168-uqwwf,female,0,0,0,11,1.0,fiber optic,0,0,1,month-to-month,bank transfer (automatic),71.45,1105.4,1
8865-tnmnx,male,0,1,1,10,1.0,dsl,0,0,0,one year,mailed check,71.45,475.7,0
9489-dedvp,female,0,1,1,70,1.0,dsl,1,0,1,two year,credit card (automatic),71.45,4872.35,0
9867-jczsp,female,0,1,1,17,1.0,0,no internet service,no internet service,no internet service,one year,mailed check,71.45,418.25,0
4671-vjlcl,female,0,0,0,63,1.0,dsl,1,1,1,two year,credit card (automatic),71.45,4861.45,0
4080-iiard,female,0,1,0,13,1.0,dsl,1,1,1,month-to-month,electronic check,71.45,981.45,0
3714-ntnfo,female,0,0,0,49,1.0,fiber optic,0,0,0,month-to-month,electronic check,71.45,3906.7,0
5948-ujzlf,male,0,0,0,2,1.0,dsl,0,0,0,month-to-month,mailed check,71.45,97.0,0
7760-oypdy,female,0,0,0,2,1.0,fiber optic,0,0,1,month-to-month,electronic check,71.45,144.15,1
7639-liayi,male,0,0,0,52,1.0,dsl,1,1,1,two year,credit card (automatic),71.45,4217.8,0
2954-pibko,female,0,1,1,69,1.0,dsl,1,1,0,two year,credit card (automatic),71.45,4254.1,0
8012-soudq,female,1,0,0,43,1.0,fiber optic,0,0,1,month-to-month,electronic check,71.45,3838.75,0
9420-lojkx,female,0,0,0,15,1.0,fiber optic,1,0,1,month-to-month,credit card (automatic),71.45,1426.4,1
6575-suvoi,female,1,1,0,25,1.0,dsl,1,1,1,month-to-month,credit card (automatic),71.45,1752.65,0
7495-ookfy,female,1,1,0,8,1.0,fiber optic,0,0,0,month-to-month,credit card (automatic),71.45,633.3,1
4667-qonea,female,1,1,1,60,1.0,dsl,1,1,0,one year,credit card (automatic),71.45,4456.35,0
1658-bygoy,male,1,0,0,18,1.0,fiber optic,0,0,1,month-to-month,electronic check,71.45,1752.55,1
8769-kktph,female,0,1,1,63,1.0,fiber optic,1,0,1,one year,credit card (automatic),71.45,6311.2,0
5067-xjqfu,male,1,1,1,66,1.0,fiber optic,0,1,1,one year,electronic check,71.45,7076.35,0
3957-sqxml,female,0,1,1,34,1.0,0,no internet service,no internet service,no internet service,two year,credit card (automatic),71.45,894.3,0
5954-bdfsg,female,0,0,0,72,1.0,fiber optic,0,1,1,two year,credit card (automatic),71.45,7853.7,0
0434-csfon,female,0,1,0,47,1.0,fiber optic,0,0,1,month-to-month,electronic check,71.45,4707.1,0
1215-figmp,male,0,0,0,60,1.0,fiber optic,0,0,1,month-to-month,bank transfer (automatic),71.45,5450.7,0
0526-sxdjp,male,0,1,0,72,0.0,dsl,1,0,0,two year,bank transfer (automatic),71.45,2962.0,0
0557-askvu,female,0,1,1,18,1.0,dsl,0,1,0,one year,credit card (automatic),71.45,957.1,0
5698-bqjoh,female,0,0,0,9,1.0,fiber optic,0,0,1,month-to-month,electronic check,71.45,857.25,1
5122-cyfxa,female,0,0,0,3,1.0,dsl,0,1,1,month-to-month,electronic check,71.45,244.1,0
8627-zygsz,male,0,1,0,47,1.0,fiber optic,0,0,0,one year,electronic check,71.45,3650.35,0
3410-yoqbq,female,0,0,0,31,1.0,dsl,0,1,1,two year,mailed check,71.45,2497.2,0
3170-nmyvv,female,0,1,1,50,1.0,0,no internet service,no internet service,no internet service,two year,bank transfer (automatic),71.45,930.9,0
7410-oiedu,male,0,0,0,10,1.0,fiber optic,1,0,0,month-to-month,mailed check,71.45,887.35,0
2273-qckxa,male,0,0,0,1,1.0,dsl,0,1,0,month-to-month,mailed check,71.45,49.05,0
0731-ebjqb,female,0,1,1,52,1.0,0,no internet service,no internet service,no internet service,one year,electronic check,71.45,1090.65,0
1891-qrqsa,male,1,1,1,64,1.0,fiber optic,1,1,1,two year,bank transfer (automatic),71.45,7099.0,0
8028-pnxhq,male,0,1,1,62,1.0,0,no internet service,no internet service,no internet service,two year,bank transfer (automatic),71.45,1424.6,0
5630-ahzil,female,0,0,1,3,1.0,dsl,1,1,0,month-to-month,bank transfer (automatic),71.45,177.4,0
2673-cxqeu,female,1,0,0,56,1.0,fiber optic,1,0,1,one year,electronic check,71.45,6139.5,0
6416-jnvrk,female,0,0,0,46,1.0,dsl,0,0,0,one year,credit card (automatic),71.45,2688.85,0
5590-zskrv,female,0,1,1,8,1.0,dsl,1,0,0,month-to-month,mailed check,71.45,482.25,0
0191-zhskz,male,1,0,0,30,1.0,dsl,1,0,1,month-to-month,electronic check,71.45,2111.3,0
3887-pbqao,female,0,1,1,45,1.0,0,no internet service,no internet service,no internet service,one year,credit card (automatic),71.45,1216.6,0
5919-tmrgd,female,0,0,1,1,1.0,fiber optic,0,0,1,month-to-month,electronic check,71.45,79.35,1
8108-uxrqn,female,0,1,1,11,0.0,dsl,1,0,1,month-to-month,electronic check,71.45,565.35,0
9191-myqkx,female,0,1,0,7,1.0,fiber optic,0,0,0,month-to-month,bank transfer (automatic),71.45,496.9,1
9919-ylnng,female,0,0,0,42,1.0,fiber optic,0,1,1,month-to-month,bank transfer (automatic),71.45,4327.5,0
0318-zopws,female,0,1,0,49,1.0,0,no internet service,no internet service,no internet service,two year,bank transfer (automatic),71.45,973.35,0
4445-zjnmu,male,0,0,0,9,1.0,fiber optic,0,0,1,month-to-month,credit card (automatic),71.45,918.75,0
4808-ynleu,female,0,1,0,35,1.0,dsl,1,0,1,one year,bank transfer (automatic),71.45,2215.45,0
1862-qrwpe,female,0,1,1,48,1.0,0,no internet service,no internet service,no internet service,two year,bank transfer (automatic),71.45,1057.0,0
2796-nnufi,female,0,1,1,46,1.0,0,no internet service,no internet service,no internet service,two year,mailed check,71.45,927.1,0
3016-ksvcp,male,0,1,0,29,0.0,dsl,0,0,1,month-to-month,mailed check,71.45,1009.25,0
4767-hzzhq,male,0,1,1,30,1.0,fiber optic,0,0,0,month-to-month,bank transfer (automatic),71.45,2570.2,0
2424-wvhpl,male,1,0,0,1,1.0,fiber optic,0,1,0,month-to-month,electronic check,71.45,74.7,0
7233-pahhl,male,0,1,1,66,1.0,dsl,1,1,1,two year,mailed check,71.45,5714.25,0
6067-ngceu,female,0,0,0,65,1.0,fiber optic,1,0,1,month-to-month,credit card (automatic),71.45,7107.0,0
9848-jqjtx,male,0,0,0,72,1.0,fiber optic,0,0,1,two year,bank transfer (automatic),71.45,7459.05,0
8637-xjivr,female,0,0,0,12,1.0,fiber optic,1,0,0,month-to-month,electronic check,71.45,927.35,1
9803-ftjcg,male,0,1,1,71,1.0,dsl,1,1,0,one year,credit card (automatic),71.45,4748.7,0
0278-yxoog,male,0,0,0,5,1.0,0,no internet service,no internet service,no internet service,month-to-month,mailed check,71.45,113.85,1
3212-kxocr,male,0,0,0,52,1.0,0,no internet service,no internet service,no internet service,two year,bank transfer (automatic),71.45,1107.2,0
4598-xlknj,female,1,1,0,25,1.0,fiber optic,0,0,1,month-to-month,electronic check,71.45,2514.5,1
6380-arceh,male,0,0,0,1,1.0,0,no internet service,no internet service,no internet service,month-to-month,mailed check,71.45,20.2,0
3679-xaspy,female,0,1,1,1,1.0,0,no internet service,no internet service,no internet service,month-to-month,electronic check,71.45,19.45,0
7123-wquhx,male,0,0,0,38,1.0,fiber optic,0,1,1,one year,bank transfer (automatic),71.45,3605.6,0
5386-thslq,female,1,1,0,66,0.0,dsl,0,0,1,one year,bank transfer (automatic),71.45,3027.25,0
3192-nqeca,male,0,1,0,68,1.0,fiber optic,0,1,1,two year,bank transfer (automatic),71.45,7611.85,1
6180-ybiqi,male,0,0,0,5,0.0,dsl,0,0,0,month-to-month,mailed check,71.45,100.2,0
6728-dkuco,female,0,1,1,72,1.0,fiber optic,1,0,1,one year,electronic check,71.45,7303.05,0
9750-boohv,female,0,0,0,32,0.0,dsl,1,0,0,one year,mailed check,71.45,927.65,0
8597-cwyhh,male,0,0,0,43,1.0,fiber optic,0,0,1,one year,mailed check,71.45,3921.3,0
2848-yxsmw,male,0,1,1,72,1.0,0,no internet service,no internet service,no internet service,two year,credit card (automatic),71.45,1363.25,0
0486-heczi,male,0,1,0,55,1.0,fiber optic,1,0,1,month-to-month,electronic check,71.45,5238.9,1
4549-zdqyy,female,0,0,0,52,1.0,dsl,1,1,0,one year,credit card (automatic),71.45,3042.25,0
5712-ahqnn,female,0,0,0,43,1.0,fiber optic,0,0,1,month-to-month,electronic check,71.45,3954.1,0
4846-whafz,female,1,1,0,37,1.0,fiber optic,0,0,0,month-to-month,electronic check,71.45,2868.15,1
5256-skjgo,female,0,1,1,64,0.0,dsl,0,1,1,two year,electronic check,71.45,3423.5,0
3071-vbypo,male,0,1,1,3,1.0,fiber optic,1,0,1,month-to-month,electronic check,71.45,248.4,0
9560-bbzxk,female,0,0,0,36,0.0,dsl,1,0,0,two year,bank transfer (automatic),71.45,1126.35,0
5299-ruloa,female,0,1,1,10,1.0,fiber optic,1,0,1,month-to-month,electronic check,71.45,1064.65,1
8402-ooohj,female,0,0,0,41,1.0,0,no internet service,no internet service,no internet service,two year,mailed check,71.45,835.15,0
9445-zueqe,male,0,1,1,27,1.0,fiber optic,0,1,0,month-to-month,credit card (automatic),71.45,2151.6,0
1091-sozga,female,0,1,1,56,1.0,fiber optic,0,0,1,one year,credit card (automatic),71.45,5515.45,0
2928-hldba,female,0,0,0,6,1.0,0,no internet service,no internet service,no internet service,month-to-month,mailed check,71.45,112.75,0
0404-swrvg,male,0,0,0,3,1.0,fiber optic,0,0,0,month-to-month,electronic check,71.45,229.55,1
6497-tilvl,female,0,1,1,7,1.0,dsl,1,0,0,month-to-month,mailed check,71.45,350.35,0
7219-tlzho,female,0,1,1,4,1.0,0,no internet service,no internet service,no internet service,month-to-month,mailed check,71.45,62.9,0
4622-ynkij,male,0,0,0,33,1.0,fiber optic,1,1,1,two year,electronic check,71.45,3027.65,0
4412-yltkf,female,1,0,0,27,1.0,fiber optic,0,0,0,month-to-month,electronic check,71.45,2135.5,1
6734-psbaw,male,0,1,0,72,1.0,0,no internet service,no internet service,no internet service,two year,bank transfer (automatic),71.45,1723.95,0
3930-zgwve,male,0,0,0,1,1.0,0,no internet service,no internet service,no internet service,month-to-month,mailed check,71.45,19.75,0
2639-ugmaz,male,1,0,0,71,0.0,dsl,1,0,1,one year,electronic check,71.45,3985.35,0
2876-gzyzc,female,0,0,0,13,1.0,fiber optic,0,0,0,month-to-month,electronic check,71.45,1215.65,0
6207-wiolx,female,0,1,1,25,0.0,dsl,1,0,1,month-to-month,credit card (automatic),71.45,1502.65,1
8587-xyzsf,male,0,0,0,67,1.0,dsl,0,1,0,two year,bank transfer (automatic),71.45,3260.1,0
3091-fyhki,male,0,0,0,1,0.0,dsl,0,0,0,month-to-month,electronic check,71.45,35.45,1
2372-hwuhi,male,0,0,0,2,1.0,dsl,0,0,0,month-to-month,electronic check,71.45,81.25,1
7799-lgrdp,female,0,0,0,43,1.0,0,no internet service,no internet service,no internet service,two year,credit card (automatic),71.45,1188.2,0
7850-vwjuu,female,0,0,0,23,1.0,fiber optic,1,0,0,month-to-month,bank transfer (automatic),71.45,1778.5,0
3774-vbnxy,female,0,1,1,64,1.0,0,no internet service,no internet service,no internet service,two year,mailed check,71.45,1277.75,0
6217-kdywc,male,0,0,1,57,1.0,0,no internet service,no internet service,no internet service,two year,mailed check,71.45,1170.55,0
0390-dcfdq,female,1,1,0,1,1.0,fiber optic,0,0,0,month-to-month,mailed check,71.45,70.45,1
3146-msegf,female,1,1,1,72,1.0,dsl,1,1,1,two year,credit card (automatic),71.45,6425.65,0
4080-ogpjl,female,0,0,0,8,1.0,dsl,1,1,0,month-to-month,electronic check,71.45,563.65,1
1095-wgngg,female,0,1,0,61,1.0,fiber optic,0,0,1,two year,bank transfer (automatic),71.45,5971.25,0
2636-sjdou,male,0,0,0,64,1.0,fiber optic,1,0,0,one year,credit card (automatic),71.45,5289.05,0
1131-qqzeb,male,1,1,0,71,1.0,0,no internet service,no internet service,no internet service,two year,bank transfer (automatic),71.45,1756.2,0
5716-ezxzn,female,0,1,1,65,1.0,fiber optic,1,1,1,two year,credit card (automatic),71.45,6416.7,0
6837-bjydq,male,0,0,0,3,1.0,0,no internet service,no internet service,no internet service,one year,mailed check,71.45,61.35,0
2135-rxihg,male,0,0,0,1,1.0,dsl,0,0,0,month-to-month,electronic check,71.45,45.65,1
6440-dkqge,male,0,0,1,30,1.0,dsl,0,0,1,one year,credit card (automatic),71.45,1929.95,0
3466-byavd,male,0,1,1,15,1.0,dsl,0,1,0,month-to-month,mailed check,71.45,1071.4,0
3780-yvmfa,female,0,1,1,8,1.0,dsl,0,1,1,month-to-month,electronic check,71.45,564.35,0
3874-eqoep,male,0,0,0,7,1.0,fiber optic,0,0,1,month-to-month,mailed check,71.45,655.5,1
1679-jrfbr,female,0,1,1,70,1.0,fiber optic,1,0,1,one year,credit card (automatic),71.45,7930.55,0
9073-zziay,male,0,1,1,62,1.0,dsl,1,1,1,two year,electronic check,71.45,5215.25,0
3077-rsntj,female,0,1,1,6,1.0,0,no internet service,no internet service,no internet service,month-to-month,mailed check,71.45,113.5,0
6551-gnydg,female,0,1,1,14,1.0,fiber optic,0,0,0,month-to-month,bank transfer (automatic),71.45,1152.8,0
9167-apmxz,female,0,0,0,22,1.0,fiber optic,0,0,1,month-to-month,bank transfer (automatic),71.45,1821.95,0
2749-ctkaj,male,0,1,1,22,1.0,0,no internet service,no internet service,no internet service,one year,mailed check,71.45,419.9,0
6371-nzyeg,male,0,1,1,16,1.0,dsl,1,0,1,two year,mailed check,71.45,1024.0,0
7554-newdd,male,0,0,0,10,1.0,0,no internet service,no internet service,no internet service,two year,bank transfer (automatic),71.45,251.6,0
8992-vonjd,female,0,0,1,13,1.0,dsl,1,0,0,month-to-month,electronic check,71.45,764.55,0
0867-mkzvy,female,0,1,0,20,,fiber optic,1,0,0,month-to-month,electronic check,71.45,1592.35,1
4482-ewfmi,female,0,0,0,2,,fiber optic,0,0,0,month-to-month,electronic check,71.45,135.2,0
4648-ypbtm,male,0,0,0,53,,dsl,0,1,0,two year,bank transfer (automatic),71.45,3958.25,0
2907-iljbn,female,0,1,1,11,,0,no internet service,no internet service,no internet service,one year,mailed check,71.45,233.9,0
6345-fzoqh,male,0,1,0,69,,0,no internet service,no internet service,no internet service,two year,mailed check,71.45,1363.45,0
3376-bmgfe,female,0,0,0,4,,fiber optic,0,0,0,month-to-month,bank transfer (automatic),71.45,273.0,1
5997-opvfa,male,0,1,0,72,,dsl,1,1,1,two year,bank transfer (automatic),71.45,6254.45,0
3445-hxxgf,male,1,1,0,58,,dsl,0,0,0,month-to-month,electronic check,71.45,2651.2,1
1159-wfsgr,female,0,1,1,16,,0,no internet service,no internet service,no internet service,month-to-month,electronic check,71.45,321.4,0
7654-ywjuf,male,0,1,0,43,,fiber optic,1,1,0,one year,bank transfer (automatic),71.45,3539.25,0
1875-qivme,female,0,1,0,2,,fiber optic,0,1,1,month-to-month,electronic check,71.45,242.8,1
6727-iotlz,male,0,1,0,14,,dsl,0,1,1,two year,mailed check,71.45,1181.75,0
0691-jvsya,female,0,1,0,53,,fiber optic,0,0,1,one year,bank transfer (automatic),71.45,5000.2,1
5918-vukwp,female,0,0,0,32,,0,no internet service,no internet service,no internet service,one year,bank transfer (automatic),71.45,654.55,0
1744-jhkys,female,0,1,0,34,,0,no internet service,no internet service,no internet service,month-to-month,electronic check,71.45,780.2,0
2656-fmokz,female,1,0,0,15,,fiber optic,0,0,0,month-to-month,mailed check,71.45,1145.7,1
2070-fnexe,female,1,0,0,7,,fiber optic,1,0,0,month-to-month,bank transfer (automatic),71.45,503.6,1
5947-sgkcl,female,0,1,1,15,,fiber optic,0,0,1,month-to-month,bank transfer (automatic),71.45,1559.25,0
3712-pkxza,male,0,1,0,61,,0,no internet service,no internet service,no internet service,one year,credit card (automatic),71.45,1252.0,0
6317-ypkdh,female,0,0,0,1,,dsl,0,0,0,month-to-month,bank transfer (automatic),71.45,29.95,1
6582-oivsp,female,0,0,0,1,,dsl,0,0,0,month-to-month,mailed check,71.45,45.3,0
9367-wxlch,male,0,0,0,8,,fiber optic,0,0,0,month-to-month,bank transfer (automatic),71.45,662.65,1
5524-khnjp,male,0,1,1,33,,dsl,1,0,1,one year,credit card (automatic),71.45,2453.3,0
1918-zbfqj,female,0,0,0,13,,fiber optic,0,0,0,month-to-month,electronic check,71.45,1111.65,1
1024-guald,female,0,1,0,1,,dsl,0,0,0,month-to-month,electronic check,71.45,24.8,1
4827-usjhp,male,0,0,0,20,,dsl,0,0,0,month-to-month,mailed check,71.45,1023.85,0
8167-gjlrn,male,0,0,0,3,,dsl,0,1,0,month-to-month,electronic check,71.45,82.15,0
0956-sycwg,female,0,0,0,13,,0,no internet service,no internet service,no internet service,one year,electronic check,71.45,244.8,0
8017-uvszu,female,0,1,0,40,,dsl,0,0,0,month-to-month,credit card (automatic),71.45,2379.1,0
7100-fqprv,male,0,1,1,43,,dsl,1,1,0,one year,credit card (automatic),71.45,3173.35,0
2472-ovkup,male,0,1,0,6,,fiber optic,0,0,0,month-to-month,electronic check,71.45,531.0,1
2984-rgeya,female,0,1,1,69,,0,no internet service,no internet service,no internet service,two year,bank transfer (automatic),71.45,1375.4,0
9680-niauv,female,0,1,1,72,,fiber optic,1,0,1,two year,credit card (automatic),71.45,8129.3,0
2146-egvdt,male,0,1,1,59,,0,no internet service,no internet service,no internet service,two year,credit card (automatic),71.45,1192.7,0
2604-ijpdu,female,0,1,0,20,,fiber optic,1,1,1,month-to-month,electronic check,71.45,1901.65,0
9178-jhuvj,male,0,1,1,24,,0,no internet service,no internet service,no internet service,two year,bank transfer (automatic),71.45,587.4,0
6168-ybynp,male,0,0,0,59,,fiber optic,0,1,1,month-to-month,electronic check,71.45,6519.75,0
7255-ssfbc,male,0,1,1,72,,fiber optic,0,1,1,two year,bank transfer (automatic),71.45,8041.65,0
3645-deygf,male,0,0,1,1,,0,no internet service,no internet service,no internet service,month-to-month,mailed check,71.45,20.75,0
9323-hgfwy,female,0,1,0,27,,fiber optic,1,1,1,one year,credit card (automatic),71.45,2681.15,0
8544-goqsh,female,0,0,0,14,,fiber optic,0,1,0,month-to-month,credit card (automatic),71.45,1112.3,0
3363-dtivd,male,0,1,1,71,,fiber optic,1,0,1,two year,electronic check,71.45,7405.5,0
7018-wbjnk,male,0,0,1,13,,fiber optic,0,0,1,month-to-month,credit card (automatic),71.45,1033.95,0
9142-kzxop,male,0,0,0,44,,fiber optic,0,0,0,month-to-month,credit card (automatic),71.45,2958.95,0
7674-ytafd,female,0,0,0,33,,fiber optic,0,1,0,one year,bank transfer (automatic),71.45,2684.85,0
6348-snfus,male,0,1,1,72,,dsl,1,1,0,two year,credit card (automatic),71.45,4179.2,0
1285-okipp,male,0,0,0,1,,fiber optic,0,0,0,month-to-month,electronic check,71.45,79.9,1
7825-ecjrf,female,0,0,0,19,,fiber optic,1,1,1,month-to-month,electronic check,71.45,1934.45,1
1347-kttta,male,0,1,0,64,,fiber optic,0,1,1,one year,credit card (automatic),71.45,6654.1,0
7841-tzdmq,male,0,0,0,2,,dsl,0,0,0,month-to-month,credit card (automatic),71.45,84.5,1
4195-nzgta,female,0,0,0,1,,dsl,0,0,0,month-to-month,electronic check,71.45,25.25,0
7157-smcfk,male,0,0,1,61,,0,no internet service,no internet service,no internet service,two year,mailed check,71.45,1124.2,0
4709-lkhyg,female,0,1,1,29,,0,no internet service,no internet service,no internet service,one year,electronic check,71.45,540.05,0
2504-dshih,male,1,1,0,23,,fiber optic,0,0,0,month-to-month,electronic check,71.45,1975.85,0
0699-ndkjm,female,0,1,0,57,,dsl,1,0,1,month-to-month,bank transfer (automatic),71.45,3437.45,0
9286-bhdqg,male,0,1,1,72,,dsl,1,1,0,two year,credit card (automatic),71.45,3139.8,0
0230-wequw,male,0,1,0,66,,dsl,1,1,1,two year,bank transfer (automatic),71.45,3789.2,0
2040-ldiwq,male,0,1,1,65,,dsl,0,1,1,two year,bank transfer (automatic),71.45,5324.5,0
6496-jdssb,female,0,0,0,8,,fiber optic,0,0,1,month-to-month,bank transfer (automatic),71.45,624.6,0
9408-ssnvz,female,0,0,0,4,,fiber optic,0,0,0,month-to-month,electronic check,71.45,268.35,1
4443-embna,female,0,1,0,71,,0,no internet service,no internet service,no internet service,two year,bank transfer (automatic),71.45,1836.9,0
6469-mrvet,male,0,1,1,1,,0,no internet service,no internet service,no internet service,one year,electronic check,71.45,20.2,0
0742-moabm,male,0,1,0,4,,dsl,0,1,0,month-to-month,mailed check,71.45,179.35,1
5961-vusrv,female,0,0,0,12,,0,no internet service,no internet service,no internet service,one year,bank transfer (automatic),71.45,219.35,0
6778-jfcmk,male,0,0,0,24,,dsl,1,0,1,one year,mailed check,71.45,1288.75,0
6341-jvqgf,female,0,1,1,31,,dsl,1,1,1,one year,mailed check,71.45,2545.75,0
2232-dmlxu,female,0,1,0,1,,dsl,0,0,1,month-to-month,mailed check,71.45,55.2,1
4811-jbuvu,male,0,0,0,30,,fiber optic,0,1,0,month-to-month,credit card (automatic),71.45,2723.15,0
0945-tsonx,female,0,1,1,47,,dsl,1,1,1,two year,credit card (automatic),71.45,4107.25,0
2651-zcbxv,male,0,0,0,54,,fiber optic,1,1,1,two year,credit card (automatic),71.45,5760.65,0
3316-uwxuy,male,0,0,0,50,,fiber optic,1,1,0,month-to-month,credit card (automatic),71.45,4747.5,0
8937-rdthp,male,0,0,0,1,,fiber optic,1,0,0,month-to-month,mailed check,71.45,84.6,1
7083-miopc,female,0,0,0,72,,0,no internet service,no internet service,no internet service,two year,credit card (automatic),71.45,1566.9,0
1984-gpteh,female,0,0,0,29,,0,no internet service,no internet service,no internet service,month-to-month,electronic check,71.45,702.0,0
1251-krreg,male,0,0,0,2,,dsl,0,0,0,month-to-month,mailed check,71.45,114.1,1
0621-jfhol,female,0,0,0,10,,dsl,0,1,0,two year,mailed check,71.45,299.05,0
9903-lysab,male,0,1,0,18,,fiber optic,0,0,0,month-to-month,electronic check,71.45,1305.95,0
0094-oifmo,female,1,0,0,11,,fiber optic,0,0,1,month-to-month,electronic check,71.45,1120.3,1
9227-uaqft,male,0,0,0,16,,0,no internet service,no internet service,no internet service,two year,mailed check,71.45,284.35,0
7301-abvad,female,0,0,0,72,,dsl,0,1,1,two year,bank transfer (automatic),71.45,6350.5,0
6614-fhdbo,male,0,0,0,72,,fiber optic,0,1,1,two year,bank transfer (automatic),71.45,7878.3,0
7576-aseju,female,0,1,1,41,,dsl,1,1,1,one year,credit card (automatic),71.45,3187.65,0
9058-hrzsv,female,1,1,0,65,,fiber optic,1,0,0,month-to-month,electronic check,71.45,6126.15,0
4522-akylr,female,1,0,0,13,,dsl,0,0,0,month-to-month,electronic check,71.45,731.3,0
0221-wmxnq,male,1,0,0,4,,fiber optic,1,0,0,month-to-month,electronic check,71.45,273.4,0
0303-uncip,male,0,0,0,41,,dsl,0,0,0,one year,mailed check,71.45,2531.8,0
9947-otfqu,male,1,0,0,15,,fiber optic,0,0,0,month-to-month,electronic check,71.45,1074.3,1
0322-yinqp,male,0,0,0,1,,dsl,1,0,0,month-to-month,mailed check,71.45,48.55,1
0959-whokv,male,0,0,0,42,,fiber optic,1,0,0,one year,electronic check,71.45,4298.45,0
4075-jfpgr,female,0,1,0,51,,fiber optic,1,0,1,one year,electronic check,71.45,4619.55,0
4629-nrxkx,female,0,1,1,2,,fiber optic,0,0,0,month-to-month,electronic check,71.45,147.15,1
9514-jdski,male,1,1,0,1,,dsl,0,0,1,month-to-month,electronic check,71.45,40.2,1
3282-ziszv,male,0,0,1,32,,dsl,0,1,1,one year,credit card (automatic),71.45,2633.3,0
3675-ydupj,male,0,0,0,10,,0,no internet service,no internet service,no internet service,month-to-month,mailed check,71.45,193.05,0
4111-bnxif,female,0,1,1,67,,dsl,0,1,1,two year,electronic check,71.45,4103.9,0
7017-vfhay,female,0,1,1,61,,fiber optic,1,1,1,two year,credit card (automatic),71.45,7008.15,0
6655-lhbyw,male,0,0,0,50,,fiber optic,1,1,1,one year,credit card (automatic),71.45,5791.1,0
4959-josrx,female,0,1,0,2,,dsl,0,0,0,month-to-month,credit card (automatic),71.45,80.55,1
5046-nuhwd,female,1,1,0,29,,dsl,1,0,0,month-to-month,electronic check,71.45,1228.65,0
7273-tefqd,male,1,0,0,3,,dsl,0,0,0,month-to-month,electronic check,71.45,132.2,1
